"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",104,172,260,-0.106367274482507,0.111408350259343,0.323549179654137,97,198,361,-0.136868867632416,0.105614258368169,0.347767496386882,-0.039288139826194,0.0699881212741289,0.175319187635028,4.032,2,6
"2","Chase",234,331,493,-0.138781114495859,0.0828922372033253,0.315558619297954,232,370,681,-0.24137016600689,0.0723518346211899,0.364441160416784,-0.0367520154372205,0.0526986570625636,0.166757191527085,4.08040201005025,2,8
"3","Columbia North",94,127,180,-0.158237114811419,0.0674484865143174,0.291377705394455,78,134,235,-0.20913392530402,0.0878721919141714,0.40835210050583,-0.0644009634064471,0.0329970173180094,0.168448758455498,6.09758551307847,4,12
"4","Hart North",69,89,120,-0.147235758304114,0.0791373205587238,0.290808513716584,9,91,147,-0.837112532540538,0.066103676666499,0.524763418569305,-Inf,0.0243057791981787,0.162193445169118,6.71548619447779,5,NA
"5","Kennedy Siding",62,88,126,-0.167301000250564,0.136859182717197,0.431440594511425,23,85,197,-1.28672213098691,0.133531392624523,0.659509608184522,-0.258238330277187,0.0175958863006126,0.224197954543342,7.97956989247312,5,NA
"6","Klinse-Za",49,64,82,-0.120298047179119,0.110348057168865,0.318544475319799,14,51,119,-0.973951446453895,0.096812007320605,0.594104456770479,-0.322083686052586,-0.00734089158512239,0.15391511539307,9.29405034324943,8,NA
"7","Quintette",53,71,98,-0.122644706956964,0.103796793681644,0.323262861516734,33,64,122,-0.320973726719106,0.109449104610708,0.421753909525947,-0.104451980864969,0.0168213889283275,0.135680195166401,8.017,6,13
"8","Redrock/Prairie Creek",85,148,240,-0.116450631527406,0.112136180123788,0.353531423299223,81,166,407,-0.300876174900383,0.117783035656383,0.487369672085367,-0.0428144396881925,0.0689291488644748,0.215232429952891,4.314,3,7
"9","Tweedsmuir",53,102,166,-0.15948811914116,0.0964602661875623,0.349109690528318,31,105,225,-0.47011498800447,0.0939238524329657,0.472178152019652,-0.160120468051283,0.0340244402542636,0.202957364279504,6.29012345679012,4,15
"10","Wells Gray South",74,128,258,-0.208687012711229,0.0408219945202552,0.253210511990499,43,122,255,-0.307290423471309,0.0431411477594686,0.332749985923236,-0.141859397208139,-0.00465200156348929,0.106555478416476,10.5681341719078,8,48
"11","Wolverine",141,190,279,-0.164848182042177,0.0907144441804891,0.336509028386499,131,201,379,-0.3267240112341,0.0734822620645016,0.382832650033428,-0.0591068424232096,0.0424927896782973,0.172488895027431,5.03437815975733,3,11
