"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",102,170,261,-0.112503042698742,0.103909344363719,0.323550574704075,106,218,391,-0.154760329897919,0.104822923633783,0.3604776854883,-0.0114574101154708,0.0852530572589152,0.199644740371854,3.329,2,4
"2","Chase",236,329,502,-0.152789073596158,0.0867517041715365,0.321452559823621,260,380,690,-0.253793314873688,0.069188521798489,0.341132814892732,-0.0352273983913005,0.0594604000951395,0.166332074939805,3.71771771771772,2,6
"3","Columbia North",96,128,173,-0.161526273824947,0.0678866291236344,0.285863982493761,96,144,237,-0.201573307972277,0.0786262466473048,0.335213567799767,-0.0510442657207102,0.0523351684717306,0.157098349419077,4.35771543086172,2,9
"4","Hart North",71,90,122,-0.133569014904008,0.093090423066012,0.316714212369871,55,98,192,-0.389864775295384,0.0792493716541405,0.475706965288961,-0.136498267358212,0.0368874994525916,0.184187750809682,4.85025641025641,3,12
"5","Kennedy Siding",63,88,125,-0.176940790837174,0.135174778368253,0.450919252116505,26,85,243,-1.403763641509,0.111571775657105,0.682454720937853,-0.225104384958383,0.00377273233206755,0.251519427004122,6.4140127388535,3,NA
"6","Klinse-Za",50,64,82,-0.111278211365144,0.103668736311242,0.339044715011399,33,66,131,-0.718023860316406,0.100083458556983,0.53560519296577,-0.124361481262977,0.0406332222838411,0.217254070343597,5.58282208588957,4,12
"7","Quintette",54,72,96,-0.109211782597278,0.105360515657826,0.341408125877122,46,80,169,-0.367791005329607,0.111851809268457,0.483273950606379,-0.0659459799219791,0.0596089718974655,0.239929929654487,4.491,3,7
"8","Redrock/Prairie Creek",88,148,235,-0.102957210371832,0.116035542557818,0.369002094104709,95,187,446,-0.333800038683102,0.138542321437233,0.510297356087824,-0.020607872120296,0.0930899080615158,0.249725069171368,3.42,2,4
"9","Takla",16,23,34,-0.174353387144778,0.0377403279828471,0.229675451882925,0,12,30,-0.182321556793955,0,0.241162056816888,-Inf,-0.147519788626156,0.0176132771703776,32.1316872427984,NA,NA
"10","Tweedsmuir",53,102,163,-0.143152872795769,0.0969560455339118,0.354190875864122,44,121,230,-0.300108859025995,0.0970067872217826,0.393931523770433,-0.0655779192501324,0.066206502665079,0.200757594272258,4.12613521695257,2,8
"11","Wells Gray North",78,109,149,-0.244038207598587,-0.00921665510492395,0.201931577260172,14,101,160,-0.882512030568534,-0.014760616587418,0.525018845397221,-0.563375469115885,-0.0241672946286547,0.103415025199885,9.5654281098546,12,NA
"12","Wells Gray South",74,132,255,-0.205856980797918,0.0452430277253563,0.26349123121912,59,136,280,-0.209760245049197,0.0395699884258406,0.338396929073842,-0.0788022974567777,0.0180099333657237,0.122771708572673,7.02923387096774,4,19
"13","Wolverine",138,189,277,-0.155061764111264,0.0926117370472387,0.320845929615132,144,212,419,-0.350932117602553,0.0607564957457236,0.414082864320873,-0.0494407017342078,0.0536515490574884,0.180176868324169,4.01003009027081,2,7
