"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",101,169,261,-0.125770656936833,0.101036017105685,0.334218794443857,116,228,454,-0.347223962341289,0.110695705616952,0.450422847193075,-0.0350209996040169,0.0979467164265383,0.240727452429444,3.2,2,3
"2","Barkerville",20,30,44,-0.223360002882788,-0.0298529631496812,0.154273530197319,17,28,45,-0.262422471711481,-0.0327898228229908,0.189364850008589,-0.111923157587085,-0.0296840010236547,0.0563993850297515,5.90641247833622,8,NA
"3","Chase",229,332,471,-0.141938347561384,0.0780677951488238,0.33140747270158,68,360,910,-1.17897137616515,0.0629092107514742,0.555416850562447,-0.366346705983249,0.0347057537286637,0.229535028210706,4.29699666295884,2,NA
"4","Columbia North",94,129,176,-0.127833371509885,0.0724955020381536,0.303904907958668,95,162,339,-0.337815333798792,0.0846769623440699,0.487142981483015,-0.0406086202460937,0.0680764483606521,0.247438745371829,3.392,2,4
"5","Graham",57,77,107,-0.214147988405632,0.0312525435041045,0.272510697448913,40,80,167,-0.70052696903265,0.0268484597350403,0.439868809417081,-0.166910516171807,0.0179560395352627,0.184393397450214,5.19753086419753,2,22
"6","Hart North",67,90,126,-0.191116227278443,0.0892798223530916,0.358978537294313,49,110,306,-0.778536008709455,0.0994951944388356,0.642498438030852,-0.141058461823633,0.0700872179777448,0.295802862390337,4.13549039433772,2,9
"7","Hart South",153,212,297,-0.204139273790031,0.116560697253781,0.408824646179738,100,261,773,-0.846680619199229,0.110314591086727,0.667286461708254,-0.155177115772508,0.0794542626456697,0.317669301418934,4.21919191919192,2,10
"8","Itcha-Ilgachuz",156,254,403,-0.368127216162062,-0.0988458346366326,0.169384901683362,91,189,367,-0.480307890771291,-0.103128210687522,0.285646478020875,-0.304809022742185,-0.0973136314706431,0.00326221575860607,6.50666666666667,NA,NA
"9","Kennedy Siding",67,89,114,-0.075108344831084,0.140357357694922,0.355240065092563,78,138,255,-0.265094540487958,0.151423135140435,0.574805561715331,0.0117431994168042,0.142616455146688,0.279205529650237,3.131,2,2
"10","Klinse-Za",47,63,83,-0.163676549149196,0.0970067872217826,0.326520598415521,39,81,136,-0.536909356746553,0.0667571858912506,0.537764662287084,-0.0921720822320498,0.0823242143685887,0.215417369916635,3.65248226950355,2,7
"11","Quintette",52,71,95,-0.149300443321273,0.0979804083602038,0.356718010271519,54,98,179,-0.260318685458288,0.106546607730354,0.45654465521512,-0.0269502293457517,0.102789150220447,0.229645630686528,3.1961961961962,2,3
"12","Redrock/Prairie Creek",85,149,221,-0.102670740559282,0.106121618329502,0.353423941155112,105,206,413,-0.264983530367879,0.117240676696279,0.448571479941519,-0.0111668862721968,0.110267358278648,0.271306320722035,3.153,2,3
"13","Takla",16,23,34,-0.182539898793173,0,0.230600938426074,15,24,41,-0.22314355131421,0,0.256747578409171,-0.0636907462237069,0.0174022753979259,0.11639444080567,5.25981873111783,2,16
"14","Tweedsmuir",57,103,168,-0.191947632975877,0.111225635110224,0.416583531443393,65,135,349,-0.477261242995975,0.130933931682608,0.59001998647265,-0.0467168187904174,0.0877983975208911,0.281619264343404,3.363,2,5
"15","Wells Gray South",69,130,254,-0.210257313629936,0.035176709893539,0.2829527617666,57,140,386,-0.895410229598895,0.0306541029752415,0.466137426423777,-0.280014652258592,0.0246222377533347,0.190615669992912,4.56645569620253,2,NA
"16","Wolverine",141,191,259,-0.127602574964837,0.0896700322342374,0.296614867658928,131,228,524,-0.499300665530901,0.083381608939051,0.466466824771508,-0.0691388417970225,0.0645977772567852,0.244320274714446,3.748,2,6
