"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",105,169,260,-0.133563588379133,0.103128210687522,0.345311185288417,104,214,437,-0.275341376569428,0.111987657472798,0.514463113930544,-0.0394386349491581,0.0848846895491406,0.248658275463507,3.54,2,5
"2","Chase",232,330,461,-0.148370803573904,0.079924350470948,0.30234961784577,85,353,869,-1.19343925284887,0.0692260842302534,0.57890433365085,-0.363344908026247,0.0336239637911087,0.219902693345882,4.70345596432553,2,NA
"3","Columbia North",94,129,178,-0.124712507741298,0.0692594670677809,0.271675503023049,84,145,297,-0.34563042308304,0.075476088992369,0.45551548010776,-0.0536642063370065,0.0498283027947986,0.196594678030604,4.416,2,9
"4","Graham",57,77,109,-0.213651523710822,0.0263173083173734,0.260428760487016,35,67,148,-0.555185095980722,0.030079156322505,0.449078284726044,-0.176317616031268,-0.018912893502198,0.16370749661557,12.1128148959474,8,NA
"5","Hart North",64,91,126,-0.218298773988938,0.0925775267909907,0.335135202147939,46,94,232,-0.768003705792822,0.0800427076735364,0.602655719240392,-0.183258146374831,0.0405652356493694,0.245808520826521,5.710499490316,3,16
"6","Hart South",156,212,297,-0.181424251258629,0.111643455106729,0.378735010314162,91,247,662,-0.891337770005398,0.103029382588127,0.640279177288146,-0.198498813671676,0.059121015335364,0.286432162683419,4.89260385005066,2,14
"7","Itcha-Ilgachuz",153,256,399,-0.398016143666333,-0.101989872460647,0.181617194817322,80,182,339,-0.545259966880442,-0.0956151508415321,0.222022370643586,-0.316667385479222,-0.105691155946917,0.0105140843559264,6.76530612244898,NA,NA
"8","Kennedy Siding",67,89,117,-0.0629138254105693,0.150282203049338,0.374064208812307,62,118,225,-0.326180389341256,0.148632816357919,0.538343855672737,-0.0271194778286439,0.114886174744113,0.255658471205297,3.451,2,5
"9","Klinse-Za",48,63,83,-0.145711811181394,0.100083458556983,0.365452313536419,35,68,123,-0.412251715671625,0.0936724066142392,0.510903626949397,-0.102281409064019,0.0514090205979782,0.195043563295984,5.2815734989648,3,15
"10","Quintette",53,72,98,-0.135877413751441,0.105360515657826,0.388949030172073,43,81,151,-0.274339291775492,0.101567594285115,0.442705254916927,-0.0796432008165668,0.0656930286370512,0.187523449292841,4.636,3,9
"11","Redrock/Prairie Creek",85,149,220,-0.14077467585197,0.11374947944804,0.3577414970995,87,190,394,-0.258910963628772,0.119732851784355,0.446673457027324,-0.0241537957137544,0.0940007258491471,0.233974058235094,3.48,2,5
"12","Tweedsmuir",53,103,170,-0.186893868601673,0.105360515657826,0.414591248144625,50,122,312,-0.390700292661503,0.115253279301213,0.578478047335378,-0.0771324961623969,0.0675895644288268,0.284269859237267,4.2012012012012,2,8
"13","Wells Gray South",68,131,259,-0.226340043978493,0.0410629003307455,0.321219734258956,46,126,327,-0.81581352317382,0.0382830635300333,0.489652922918532,-0.252315234662151,0.00691717340590595,0.152317807588333,7.41176470588235,4,NA
"14","Wolverine",137,190,264,-0.132257069584822,0.0922897569988745,0.306914893974912,116,212,464,-0.443773595032842,0.0785553859060339,0.504461879987096,-0.0751913743954887,0.0506318602067584,0.23206050595942,4.50550550550551,2,10
