"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",101,171,264,-0.13008520009352,0.10469078832646,0.3243597914707,97,198,400,-0.242129993940896,0.102611583397391,0.448579801076525,-0.0599562807984787,0.0677895086335719,0.200509166493334,4.356,2,8
"2","Chase",233,333,469,-0.149006501932765,0.0835106328731698,0.315114807617342,64,336,808,-1.19887001066527,0.0635936735791718,0.583670094253452,-0.360597980477745,0.0207187436673871,0.216056650600683,5.02193995381062,3,NA
"3","Columbia North",93,130,174,-0.145228795047298,0.0710011655182537,0.30233844715747,71,131,294,-0.321321866712401,0.0895093732026359,0.524924742642659,-0.0875847778209916,0.029757114744245,0.213581322523158,6.526,4,15
"4","Graham",58,77,109,-0.196129764309285,0.0346855579878901,0.278020161540044,27,55,128,-0.532751133907423,0.0296334241779873,0.475436563416337,-0.231131695947145,-0.0586334934668932,0.0993114736949579,19.7670886075949,18,NA
"5","Hart North",67,91,126,-0.168168952555899,0.0899482366629396,0.368001582147834,33,81,218,-0.799472539913092,0.0980392711885843,0.59562732906281,-0.210368836517258,0.00467873595744612,0.226223152091954,8.50994764397906,6,42
"6","Hart South",157,212,291,-0.179155458185606,0.113613206636104,0.391302434662694,80,232,632,-0.91404224961075,0.101659556764683,0.675350575145094,-0.218749887138969,0.0530315841417471,0.288164592376943,5.99497487437186,2,19
"7","Itcha-Ilgachuz",151,253,406,-0.372732444498413,-0.103509863249481,0.18256289258647,79,172,329,-0.568859784556965,-0.0932574934865827,0.248056093853001,-0.300488133304351,-0.117818815130776,-0.00659837062626291,7.54929577464789,NA,NA
"8","Kennedy Siding",66,89,117,-0.0942482055754353,0.146603474191875,0.36515159913978,49,100,185,-0.361032763014035,0.139558731642835,0.500556063253468,-0.0796709855813524,0.0793197454561017,0.210487894261456,4.855,3,8
"9","Klinse-Za",48,63,83,-0.127913243782298,0.0929496890709193,0.354821375289409,15,54,105,-0.728238500371215,0.101782694309942,0.559770587191621,-0.311885390081248,0.00655796456459819,0.154651222687554,8.77777777777778,7,NA
"10","Quintette",53,72,101,-0.129257144753166,0.106972119552168,0.378080826838486,30,66,130,-0.381408173922279,0.105360515657826,0.426868504302201,-0.130827538753765,0.0225445983427709,0.162790320824141,7.84453360080241,6,15
"11","Redrock/Prairie Creek",87,148,220,-0.110355994936832,0.110885718463137,0.338154529719981,74,172,347,-0.292272246861494,0.111119082099699,0.486819764694766,-0.0651180372598655,0.0716905722270572,0.215832872435797,4.382,3,8
"12","Tweedsmuir",54,103,168,-0.234130525751846,0.104140259252597,0.414482788104661,37,104,321,-0.50558597502167,0.112734328324729,0.614374034267121,-0.11370389605322,0.0369762021591036,0.254017147895338,6.20040281973817,4,13
"13","Wells Gray South",71,130,254,-0.214622425063194,0.0404213284391522,0.296611758788376,34,113,299,-0.768558710523843,0.041242958534049,0.483847071199315,-0.27284473248451,-0.017402275397926,0.150222305606194,11.2195945945946,8,NA
"14","Wolverine",139,190,259,-0.12812161871237,0.0896910790591983,0.283577094838661,109,197,457,-0.464130942083202,0.0775755900804209,0.53073401536587,-0.107154049994537,0.0348695523665981,0.194338283335717,5.665,3,11
