"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",105,170,265,-0.127596477315456,0.100541229221877,0.343219735236224,108,226,432,-0.307250341867712,0.102497116404266,0.43316276109571,-0.0402231933061615,0.0936757608841255,0.255212496043705,3.356,2,4
"2","Barkerville",20,31,44,-0.238411023444998,-0.0298529631496812,0.17439181912775,14,25,41,-0.247086910336668,-0.0377403279828471,0.211309093667207,-0.138629436111989,-0.0531406331466011,0.0308505025923898,11.2777777777778,NA,NA
"3","Chase",234,336,476,-0.145152264308064,0.0888695129238279,0.304518161242052,72,357,947,-1.21352514268158,0.0477179474042881,0.598144617850601,-0.375588707141478,0.0372226933506138,0.237001242519454,4.07981755986317,2,NA
"4","Columbia North",93,130,176,-0.136642698313945,0.0751206304681081,0.302320223368545,90,157,296,-0.354585875653124,0.0788939424696629,0.402413185255726,-0.047968006787202,0.0642722798901341,0.206048661677272,3.668,2,6
"5","Graham",56,77,110,-0.220138926440237,0.0287804546586541,0.298690018978695,39,77,172,-0.600106574695549,0.0298529631496811,0.50000935133579,-0.15209970625456,0.0104639275092843,0.181219165917808,6.28778467908903,3,34
"6","Hart North",67,91,128,-0.202056668216787,0.0915671935254904,0.34219188133558,40,106,292,-0.74083985962448,0.0894216462088149,0.648978742959786,-0.167103162160649,0.0602915546498419,0.283101275371542,4.36097067745197,2,10
"7","Hart South",157,214,305,-0.177514707808249,0.120017751386899,0.429106689384164,86,264,717,-0.930770213527519,0.114622970622926,0.645324559520879,-0.202331823784494,0.0749222163324429,0.292705772151112,4.6633064516129,2,13
"8","Itcha-Ilgachuz",146,258,411,-0.366237698785645,-0.101222688752431,0.207644308909577,77,190,349,-0.794355443819086,-0.095121536149946,0.245553503193847,-0.323777605147597,-0.0970898169298383,0.0193078179220841,7.07936507936508,NA,NA
"9","Kennedy Siding",65,89,118,-0.0741549205243269,0.147920130076622,0.373027727530444,75,131,246,-0.304458973280915,0.141482025064802,0.503351775927935,0.0207969781055975,0.134794826537727,0.280621260099431,3.102,2,3
"10","Klinse-Za",48,63,81,-0.151614917669702,0.0898816278419923,0.331410497767658,39,78,142,-0.4220399059773,0.0906779198369979,0.555793670592658,-0.0956445202627935,0.0774182444146233,0.208096261233793,3.81326530612245,2,9
"11","Quintette",52,71,97,-0.126173102924508,0.0997279661850932,0.339300393247277,50,92,157,-0.315091942260029,0.100276994460309,0.411280665504362,-0.0446656107993301,0.0903970247486114,0.218687972548832,3.469,2,5
"12","Redrock/Prairie Creek",87,148,221,-0.122168956634489,0.104750387455212,0.342671220475576,102,195,392,-0.238508584544422,0.1106356809523,0.464192748232587,-0.017550648975174,0.100651175467395,0.244609361362884,3.235,2,4
"13","Takla",15,23,34,-0.174417820170135,0.0333456872493362,0.231846944985429,11,21,39,-0.241261066847291,0,0.251403873814603,-0.102165124753198,-0.0102586588775101,0.0963859660229925,13.9808917197452,9,NA
"14","Tweedsmuir",53,102,175,-0.232634084941219,0.10411972852462,0.441849592966776,55,130,327,-0.530164166357484,0.1122982434225,0.572508447129001,-0.0617717067159498,0.0850812253476827,0.293641082129195,3.584,2,5
"15","Wells Gray South",71,132,261,-0.191903029931039,0.0395560210902917,0.282254812390009,44,137,337,-0.816111618808512,0.0386334952810293,0.480518110140296,-0.30184092162148,0.0211582728913134,0.169065658954517,5.16825396825397,2,NA
"16","Wolverine",136,190,253,-0.116545882309207,0.0911797648975777,0.287751038012758,119,227,485,-0.478280858836161,0.0847900541960601,0.533412465559763,-0.0850194173159016,0.0616734376211337,0.243605441544731,3.838,2,6
