"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",102,171,265,-0.110019656941288,0.110143579098426,0.320783116379794,116,220,431,-0.338269565521991,0.109938105643628,0.40990150799985,-0.0264702902969348,0.0935955075932665,0.239632387504375,3.368,2,4
"2","Chase",232,332,462,-0.129594599594077,0.0792495306164219,0.314804319496671,68,354,838,-1.21937899745663,0.0680983331902815,0.62706091345157,-0.387857412780105,0.0347067304001987,0.227674476002265,4.46266968325792,2,NA
"3","Columbia North",95,129,176,-0.151272887270517,0.0708888942704484,0.316491083693372,88,151,306,-0.367057627305287,0.0689928714869514,0.461802604278989,-0.0535284667473595,0.0601365576422526,0.221725149053959,3.934,2,7
"4","Graham",56,77,107,-0.223234295515474,0.032789822822991,0.262408947231843,41,75,166,-0.557402393114247,0.0239541001363896,0.44078873790313,-0.143762512234692,0.00279724839494797,0.166388642468653,8.14570230607966,4,59
"5","Hart North",67,90,130,-0.176494605287902,0.0894216462088149,0.361979996168426,47,100,264,-0.739710864328212,0.0843202526193022,0.617379185294422,-0.155547838926465,0.0498508424135198,0.269037503356791,4.64141414141414,2,11
"6","Hart South",157,212,313,-0.196715545795281,0.111910985843056,0.437977058672415,88,253,728,-0.922270443334941,0.0979013507270246,0.68524465826844,-0.193544049077172,0.0737992417794371,0.324733438462193,4.59150657229525,2,12
"7","Itcha-Ilgachuz",148,258,404,-0.402069469994113,-0.104370014671557,0.159312423256366,86,190,378,-0.53189275127845,-0.0928633704628257,0.266516046157127,-0.264549784756553,-0.0992119529977318,0.00152721031640697,7.59016393442623,NA,NA
"8","Kennedy Siding",67,89,118,-0.0698764962625257,0.144830947878456,0.367811061487923,68,127,244,-0.323438307318117,0.146964094474367,0.522812973036503,-0.00233920795263826,0.128564020772647,0.269625506757161,3.177,2,3
"9","Klinse-Za",49,63,82,-0.144609493370365,0.100083458556983,0.347250686021012,38,75,128,-0.452072383866552,0.0824649070410427,0.531642844523558,-0.0879902568358668,0.0683052457612935,0.203911737578654,4.06008146639511,2,8
"10","Quintette",53,72,100,-0.119801199812621,0.10916637912961,0.353959027905189,48,90,167,-0.254412404027995,0.107888962011185,0.463270334669421,-0.039779270932618,0.0841465160477906,0.214396698459626,3.5965965965966,2,6
"11","Redrock/Prairie Creek",86,148,225,-0.12141718447834,0.101782694309942,0.326468132499098,93,199,408,-0.34185788224421,0.114177305263481,0.474188647783654,-0.0211861765203961,0.0995741758564807,0.251726073320154,3.272,2,4
"12","Takla",16,23,34,-0.189287330566633,0.0357294819910725,0.245122458032985,0,18,33,-0.207639364778244,0,0.245122458032985,-Inf,-0.0446287102628419,0.072220817947719,24.3957845433255,23,NA
"13","Tweedsmuir",54,103,167,-0.179052061399204,0.110072237156377,0.412588486815737,52,126,354,-0.490343244240759,0.0956920049469736,0.568762582919859,-0.0625154230595936,0.0733600867907859,0.300009846566589,3.85,2,6
"14","Wells Gray South",73,131,264,-0.228431026132358,0.0392207131532813,0.290559784117306,44,135,350,-0.873965587223645,0.0355600048264976,0.470149686136341,-0.310196259422649,0.0175284239948573,0.170832936574615,5.50317124735729,2,NA
"15","Wolverine",139,190,253,-0.147018001143105,0.0804334662646567,0.283366247402684,126,217,440,-0.492597370585331,0.0760548012253614,0.474591367968194,-0.0664278120458059,0.0588325530602886,0.22559506292755,3.955,2,7
