"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",103,170,257,-0.118050417884302,0.0993795072564593,0.341595892253638,101,215,419,-0.297191957553429,0.105130047804011,0.499575000781433,-0.0326599515840354,0.0830007559071057,0.228948633820659,3.534,2,5
"2","Chase",237,328,470,-0.144701826568621,0.0798177974604223,0.282527106029058,66,352,841,-1.264471863629,0.0650861904764389,0.595545419026998,-0.383245483835739,0.0306667559311839,0.20821922293945,4.58064516129032,2,NA
"3","Columbia North",96,129,179,-0.130163747897707,0.0772916743016465,0.282747750432245,79,146,292,-0.292033079622309,0.0773947911409323,0.495793965460019,-0.0687731624269281,0.0506286524062773,0.232563728765192,4.468,2,9
"4","Graham",57,77,107,-0.20683817177719,0.0336189859716366,0.265767186254547,32,68,151,-0.626576205330788,0.0316236826869756,0.521502444461907,-0.191188391994246,-0.0163042667280255,0.173766475566429,11.7586206896552,8,NA
"5","Hart North",66,90,128,-0.211970250716085,0.0860085192859838,0.35565878959975,39,94,250,-0.730978837460457,0.0909717782057268,0.584706975002168,-0.165081217054508,0.03780360709381,0.255622845509197,5.78760162601626,3,16
"6","Hart South",157,212,293,-0.203921896239482,0.109285924556389,0.378463555629207,85,243,663,-0.852148791077322,0.0950721412375818,0.62917121936362,-0.169051411937203,0.0639500280277563,0.291819254955882,4.80885311871227,2,11
"7","Itcha-Ilgachuz",150,257,402,-0.414019682551055,-0.102179002849667,0.141501214120593,66,185,334,-0.670931489602693,-0.0884581294812267,0.232969814173685,-0.386935320695841,-0.104454251135336,-0.000718232856177816,6.71264367816092,NA,NA
"8","Kennedy Siding",68,89,116,-0.0823848274688045,0.149180076204594,0.381392602448714,70,118,211,-0.300411344765133,0.149035579160488,0.516341206852523,-0.0255694132776686,0.112091083739057,0.263250529753023,3.428,2,4
"9","Klinse-Za",49,64,82,-0.133531392624523,0.10354067894084,0.333498647762299,37,68,118,-0.376184131242552,0.107245530353598,0.480194765248344,-0.105504622944506,0.0495244337218422,0.176006014188753,5.29381443298969,3,14
"10","Quintette",51,72,98,-0.147422371131035,0.105360515657826,0.338778774440238,41,82,142,-0.229908735068647,0.109316566505227,0.457587408856636,-0.0595668887831598,0.0659506572744936,0.20023901396784,4.464,3,8
"11","Redrock/Prairie Creek",88,150,226,-0.146116638483971,0.110782865316496,0.336660738928045,92,186,383,-0.275009171601363,0.111044113961017,0.45347829615053,-0.0330453403108107,0.091027160037672,0.240152381116313,3.532,2,5
"12","Tweedsmuir",55,103,171,-0.177577021884061,0.096344149141058,0.415861226461902,51,117,333,-0.483735676998465,0.103834071499445,0.548822361993704,-0.0710515065098552,0.0591980060292218,0.258805729705691,4.25025025025025,2,7
"13","Wells Gray South",72,129,264,-0.212611401124652,0.0371894710589967,0.287992635451745,45,125,339,-0.974027370212659,0.0380033218272279,0.408391064827948,-0.252758390703934,0.00618754037180873,0.15487472851025,7.796573875803,4,NA
"14","Wolverine",139,189,262,-0.114749698883666,0.0830105133600262,0.295563780422274,120,210,494,-0.461682802754671,0.0843982555364076,0.481418084299784,-0.073700923870843,0.0480871245880661,0.232842770477629,4.402,2,8
