"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",100,171,259,-0.154240932632861,0.102585753263895,0.326333872001667,106,226,434,-0.250314783285015,0.109298943186049,0.473546647505895,-0.0258014275824931,0.0908206422657061,0.238443316104566,3.309,2,4
"2","Chase",234,332,475,-0.133541125932023,0.082588683104806,0.316216284230876,87,361,1001,-1.14418836390731,0.0659289797638448,0.61716651905675,-0.373786272289217,0.0359164068977968,0.236924978022659,4.58453038674033,2,NA
"3","Columbia North",91,130,175,-0.137800851660604,0.0741079721537218,0.276107735096839,88,152,315,-0.367808252656955,0.0788585749123196,0.463928684920559,-0.0460359959906327,0.0609265696579243,0.212061563475284,3.795,2,7
"4","Graham",57,77,111,-0.211975357446773,0.03529900413409,0.284337300732411,34,74,182,-0.617238251986269,0.025211864557683,0.502470199161525,-0.178798418551,-0.00246926125903716,0.185855992414431,8.50369588173178,4,NA
"5","Hart North",67,90,127,-0.182321556793955,0.0920188987202522,0.326996813340572,43,102,280,-0.780201476015051,0.0873934939360076,0.606209010064793,-0.211574813773493,0.0516240799453768,0.242189569834497,4.70325203252033,2,13
"6","Hart South",156,211,304,-0.189062248091557,0.116363614082132,0.435339794648061,82,255,683,-0.977290423093633,0.104077214359492,0.670656354492516,-0.200403673875231,0.0676737379776859,0.277361968659992,4.82963709677419,2,15
"7","Itcha-Ilgachuz",155,254,398,-0.401271153676821,-0.105792183246715,0.160542327166054,91,185,339,-0.468112261048355,-0.0975469028573145,0.21804040217888,-0.248898752346319,-0.101911708352876,-0.00285066294938262,6.65765765765766,NA,NA
"8","Kennedy Siding",68,89,114,-0.0750589539687893,0.148632816357919,0.361380294652004,71,128,248,-0.310285671971271,0.149638560165153,0.565729002460052,-0.00280605896991496,0.130917154219256,0.28246902975698,3.212,2,4
"9","Klinse-Za",48,63,83,-0.140644922946677,0.101293696715954,0.341372988836903,36,76,133,-0.421422194941577,0.0884230022435616,0.50125617274984,-0.0947683620333107,0.0698751282914242,0.207119276488149,4.12487205731832,2,10
"10","Quintette",51,71,95,-0.156898027071388,0.0988458346366326,0.329812800088722,48,88,160,-0.36593851347343,0.104028902003027,0.446498328990583,-0.0429051927426772,0.0821484330418016,0.193268066730483,3.621,2,6
"11","Redrock/Prairie Creek",88,148,222,-0.144602123087292,0.108636684355836,0.35293963406748,96,198,379,-0.273570681038562,0.114689448665716,0.453449542009871,-0.0160647850973866,0.102465803483023,0.238093672908351,3.305,2,4
"12","Takla",16,23,34,-0.167173988969754,0.037053986076861,0.238479799279295,0,18,34,-0.207731108000469,0,0.2578291093021,-Inf,-0.0446287102628419,0.0706520369929192,24.4533947065593,23,NA
"13","Tweedsmuir",57,103,172,-0.143328117933205,0.113176036855199,0.42350045429858,55,125,326,-0.552606918490293,0.103184236235231,0.551417389534201,-0.0643809232994594,0.0747562420176347,0.274156851980294,3.75975975975976,2,6
"14","Wells Gray South",73,130,259,-0.203470585504003,0.0461519751776994,0.307884845788238,52,134,355,-0.887612690012743,0.033129465835242,0.491025435375232,-0.205347670095117,0.0181943556411454,0.185506343895524,5.82032085561497,3,NA
"15","Wolverine",139,191,269,-0.119828088661133,0.093090423066012,0.308324336613287,120,221,484,-0.467228947831,0.0733825459340239,0.463402651300633,-0.069237225112905,0.0608427342356002,0.230109527607386,3.826,2,7
