"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",101,168,264,-0.115404559348619,0.101718705400305,0.315667182750974,116,227,394,-0.148246687190522,0.102389518509728,0.364409608617328,-0.000980947955842315,0.0945580631945897,0.2025253927819,3.156,2,3
"2","Chase",230,328,479,-0.16991473538304,0.0786356747357768,0.320558156602605,266,385,680,-0.252945019545225,0.0610071505309794,0.335807250799749,-0.0346414922056722,0.0636088125853667,0.157026526806685,3.55555555555556,2,5
"3","Columbia North",97,128,178,-0.156502630919443,0.0729659529114888,0.303251838939161,94,152,243,-0.232810403214812,0.0814017879133178,0.332310440385361,-0.0421801325316494,0.0617405867693704,0.158035128343581,3.82982982982983,2,7
"4","Graham",57,77,108,-0.196809304276457,0.0406157664290659,0.263361093524372,27,77,155,-0.667935982545317,0.0413852161628543,0.510825623765991,-0.326928244118345,0.00535746746494731,0.169883850198379,5.63048498845266,3,NA
"5","Hart North",71,90,123,-0.12680373479424,0.0899482366629396,0.302323741274693,63,101,204,-0.598236336694815,0.0701487439259716,0.485596415992569,-0.125487185059333,0.0463995000891452,0.242733636395149,4.15321756894791,2,10
"6","Kennedy Siding",64,89,124,-0.177010594610864,0.143497511650371,0.459564401223762,25,84,247,-1.49484362891686,0.0953101798043249,0.664434977487633,-0.257352790098018,-0.00516179170165984,0.256204100132295,5.98631578947368,3,42
"7","Klinse-Za",49,64,81,-0.115569640835208,0.107245530353598,0.315243611077084,36,74,156,-0.675391870901605,0.0953101798043249,0.50598425034841,-0.0903970247486115,0.0633581320091753,0.221002463227358,4.17272727272727,2,9
"8","Quintette",53,72,98,-0.117783035656384,0.100083458556983,0.340455201872288,52,86,187,-0.410738048653856,0.101782694309942,0.513029340724174,-0.0358260129165219,0.0728444299148231,0.248642263481754,3.579,2,5
"9","Redrock/Prairie Creek",88,149,240,-0.152041431798798,0.125134329162343,0.352099983094339,98,193,474,-0.316714212369871,0.124089358041898,0.532646447712123,-0.0135083445750396,0.0959461468740164,0.27137775704149,3.265,2,4
"10","Takla",15,23,35,-0.148563271985998,0.0408219945202552,0.22332805399665,0,18,41,-0.287682072451781,0,0.27443684570176,-Inf,-0.0380297236401238,0.113356725336805,19.8311258278146,16,NA
"11","Tweedsmuir",56,103,162,-0.171190620111919,0.10031234388943,0.3285475074695,60,129,243,-0.191080799137124,0.0989062733132281,0.407366117440864,-0.0251775662751675,0.0810930216216329,0.198371702223032,3.374749498998,2,4
"12","Wells Gray North",80,109,155,-0.209293654847858,-0.00925952388361876,0.217064505237828,29,105,173,-0.631504858148442,-0.0104724481830418,0.40955241521391,-0.382509349918197,-0.0161613453273553,0.100967195117213,6.80711354309166,6,NA
"13","Wells Gray South",72,129,260,-0.190545598350502,0.0441248049089381,0.265251930506296,66,139,293,-0.256933381172954,0.0365345055106514,0.293598639287644,-0.077355887175819,0.0255711796949881,0.125084969596736,5.50201207243461,2,15
"14","Wolverine",138,188,272,-0.186329578191493,0.0816035803853195,0.311589842922902,154,220,408,-0.293804216850792,0.0688680119532772,0.412068794580755,-0.0451489907372651,0.0597368326709835,0.188785206846462,3.67035175879397,2,6
